Step,J1 X,J1 Y,J1 Z,J2 X,J2 Y,J2 Z,J3 X,J3 Y,J3 Z,J4 X,J4 Y,J4 Z,J5 X,J5 Y,J5 Z,J6 X,J6 Y,J6 Z,Tip X,Tip Y,Tip Z
81,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-18.964713,-19.907934,387.413171,141.257615,148.283141,331.185348,184.832725,194.025483,315.893263,196.513530,206.287241,253.138119,205.498765,215.719363,204.864931
82,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-18.177707,-19.264140,387.527817,141.129721,149.564669,330.615810,184.456009,195.480454,315.137649,195.724083,207.421993,252.245439,204.391833,216.607792,203.866815
83,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-17.480046,-18.682903,387.626592,141.006995,150.710129,330.103912,184.110166,196.779363,314.459669,195.011761,208.431133,251.448626,203.397604,217.394033,202.978594
84,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-16.872219,-18.168266,387.710417,140.892736,151.715479,329.652410,183.799523,197.918171,313.862576,194.381372,209.312872,250.750095,202.521256,218.078026,202.202033
85,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-16.354850,-17.724057,387.780102,140.789984,152.576743,329.263959,183.528118,198.892860,313.349527,193.837475,210.065304,250.152267,201.767749,218.659492,201.538990
86,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-15.928728,-17.353865,387.836328,140.701486,153.289997,328.941098,183.299662,199.699416,312.923566,193.384357,210.686387,249.657577,201.141814,219.137902,200.991431
87,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-15.594834,-17.061028,387.879639,140.629665,153.851370,328.686242,183.117499,200.333821,312.587620,193.026016,211.173916,249.268478,200.647951,219.512451,200.561447
88,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-15.354374,-16.848611,387.910419,140.576576,154.257027,328.501668,182.984574,200.792034,312.344477,192.766134,211.525504,248.987443,200.290411,219.782020,200.251264
89,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-15.208798,-16.719389,387.928885,140.543875,154.503176,328.389503,182.903388,201.069983,312.196784,192.608058,211.738555,248.816969,200.073188,219.945149,200.063265
90,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-15.159839,-16.675823,387.935067,140.532781,154.586056,328.351707,182.875963,201.163554,312.147028,192.554767,211.810241,248.759578,200.000001,219.999999,200.000001
